,name,price
0,"매화(치킨, 연어구이)","10,000"
1,매화 (순살 고등어데리야끼),"10,000"
2,진달래,"7,000"
3,개나리(순살 고등어 간장구이),"8,000"
4,중화 짜장볶음밥,"4,700"
5,나시고랭,"4,500"
6,생선까스도련님고기고기,"5,500"
7,돈까스도련님고기고기,"5,500"
8,탕수육도련님고기고기,"5,600"
9,새치 고기고기,"6,000"
10,돈치 고기고기,"5,200"
11,고기고기,"4,000"
12,제육 김치찌개 정식,"8,000"
13,고등어 불고기 정식,"7,000"
14,콤비네이션 정식,"6,000"
15,숯불직화구이,"6,500"
16,소불고기,"5,000"
17,메가치킨제육,"6,900"
18,생선까스도련님,"3,900"
19,칠리 찹쌀탕수육도련님,"4,000"
20,동백,"5,000"
21,치킨제육,"4,400"
22,국화,"4,200"
23,돈까스도련님,"3,900"
24,제육볶음,"3,900"
25,한솥밥,"1,000"
26,현미밥,"1,700"
27,마라치킨마요세트,"5,700"
28,마라치킨마요,"3,700"
29,메가불닭치킨 고로케,"8,200"
30,메가불닭참치 고로케,"8,200"
31,메가불닭치킨 케이준,"7,700"
32,메가불닭참치 케이준,"7,700"
33,불닭치킨 고로케세트,"5,300"
34,불닭참치 고로케세트,"5,300"
35,불닭치킨 케이준세트,"4,800"
36,불닭참치 케이준세트,"4,800"
37,메가불닭치킨마요,"6,400"
38,메가불닭참치마요,"6,400"
39,불닭치킨마요,"3,500"
40,불닭참치마요,"3,500"
41,피자불고기마요,"4,700"
42,피자치킨마요,"4,500"
43,갈비치킨마요,"3,200"
44,메가치킨마요,"5,200"
45,왕치킨마요,"4,200"
46,빅치킨마요,"3,500"
47,치킨마요,"2,900"
48,참치 샐러드마요,"3,400"
49,치킨 샐러드마요,"3,400"
50,참치마요,"2,900"
51,돈치마요,"3,500"
52,치즈 카레도시락,"4,000"
53,돈까스 카레,"3,900"
54,소불고기 철판볶음밥,"4,500"
55,한솥 철판볶음밥,"3,700"
56,소고기 육개장,"4,500"
57,묵은지 김치찌개,"4,300"
58,고추장숯불삼겹덮밥세트,"8,500"
59,고추장숯불삼겹덮밥,"6,500"
60,숯불직화구이 덮밥,"5,700"
61,숯불구이 덮밥 + 쌈채소,"6,700"
62,왕카레돈까스덮밥,"5,500"
63,새우돈까스 덮밥,"3,900"
64,돈까스 덮밥,"3,600"
65,치즈불닭비빔밥,"5,700"
66,불닭비빔밥,"4,500"
67,소불고기 감초고추장 비빔밥,"4,800"
68,시골제육 두부강된장 비빔밥,"4,800"
69,참치야채 감초고추장,"3,200"
70,튼튼도시락,"5,000"
71,해피닭가슴살볶음밥,"5,000"
72,쑥쑥치킨마요,"5,000"
73,순살치킨 패밀리세트(직영점 판매),"15,500"
74,순살치킨 콤보세트(직영점 판매),"15,500"
75,순살치킨 싱글세트(직영점 판매),"9,500"
76,순살치킨 패밀리(직영점 판매),"13,000"
77,순살치킨 콤보(직영점 판매),"13,000"
78,순살치킨 싱글(직영점 판매),"7,000"
79,반찬 녹두전,"2,700"
80,반찬 해물부추전,"2,200"
81,반찬 계란말이,"2,200"
82,반찬 치즈계란말이,"2,800"
83,반찬 묵은지김치찌개,"3,900"
84,반찬 소고기육개장,"4,100"
85,반찬 카레,"2,400"
86,반찬 소불고기,"3,900"
87,반찬 순살 고등어데리야끼,"3,400"
88,반찬 치킨,"3,200"
89,반찬 고기고기,"3,200"
90,반찬 돈까스 도련님,"3,200"
91,반찬 제육볶음,"3,100"
92,반찬 돈까스,"2,500"
93,바삭 군만두,"2,000"
94,미니 찹쌀핫도그,"2,500"
95,미니 찹쌀탕수육,"2,000"
96,감자고로케,"2,000"
97,케이준후라이,"1,500"
98,쌈채소 세트,"1,000"
99,치킨 샐러드(유자드레싱),"3,600"
100,치킨 샐러드(사과드레싱),"3,600"
101,그린 샐러드 (유자드레싱),"2,900"
102,그린 샐러드 (사과드레싱),"2,900"
103,미니 샐러드 (유자드레싱),"1,500"
104,미니 샐러드 (사과드레싱),"1,500"
105,국물떡볶이 튀김세트,"4,800"
106,닭강정 트리플 콤보,"8,000"
107,탕수 닭강정(중),"7,800"
108,탕수 닭강정(소),"3,000"
109,갈비 닭강정(중),"7,800"
110,갈비 닭강정(소),"3,000"
111,오리지널 닭강정(중),"7,500"
112,오리지널 닭강정(소),"2,800"
113,치킨 BOX(대) ,"10,000"
114,치킨BOX(중)_양식소스,"5,000"
115,치킨BOX(중)_칠리소스,"5,000"
116,오징어젓갈,400
117,간장마늘쫑,400
118,오이지무침,700
119,한솥 두부강된장소스,"1,800"
120,한솥 감초볶음고추장소스,500
121,반찬 무생채,300
122,볶음김치,400
123,김치,300
124,무말랭이,300
